file_name,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
metal.00000.wav,0.4877041,0.06745071,0.11605348,0.00030653347,3274.5023368834463,268192.5588608463,2722.4884521944637,151273.66573152537,6408.00146824246,1687519.1282076729,0.18301936811194897,0.002186167414544937,0.0003943255,0.0069540846,0.0024365596,0.002323884,95.703125,-52.940296,348.8511,50.09013,196.9416,-11.491269,260.2043,46.324932,222.09177,6.543001,116.34565,10.116378,81.851776,5.4855285,66.73695,8.844899,65.20277,5.929942,57.59235,6.625154,51.407864,-4.0330343,56.706837,9.778293,54.307533,-3.1172316,53.3211,3.653597,57.85395,-6.5021935,49.80674,1.0854731,47.405632,-4.482196,41.07208,4.709674,36.599598,-2.755327,44.850826,0.4985645,37.1307,metal
metal.00001.wav,0.47688589,0.07198616,0.09723437,0.00021852479,2922.91881169065,183894.6094807538,2620.9441075603327,49892.26582845576,6037.132429578742,677178.0335248534,0.1528407168406806,0.0017225195786006926,2.7973592e-06,0.00485058,-5.6643512e-05,0.0015541184,78.30255681818181,-80.19851,456.874,64.840294,159.61916,-15.457802,131.76721,46.845818,81.633995,7.9143405,92.36613,21.7688,47.638496,-2.1780024,95.412315,21.984138,55.686535,-7.7135434,57.457108,11.146056,59.764385,-4.2872386,45.838875,11.4456625,40.963238,-10.364867,44.034107,11.723209,57.450054,-7.101391,38.43347,5.932563,37.303715,-9.034272,37.967262,5.5063896,34.36911,-6.1980915,43.068314,3.1290836,40.572807,metal
metal.00002.wav,0.43276274,0.07504221,0.13272823,0.0006411901,2198.9192295458615,146529.39774747164,2006.3317773276192,81201.99198673289,4447.472436466793,669803.2325373275,0.12834093133700697,0.0009791959492596286,-6.3359635e-06,0.0076486715,-0.00044250133,0.004009483,112.34714673913044,-62.234993,995.3575,115.17359,316.81232,-42.7843,299.43436,54.301395,215.76904,-24.871058,75.68812,20.127165,106.467804,-21.635332,68.519226,20.841629,47.369938,-8.395902,59.444473,20.32247,44.976433,-10.730717,51.56766,9.666507,38.547375,-14.542503,52.859497,6.9304943,31.85381,-7.477543,32.54057,5.972606,35.67236,-3.4734755,33.779533,6.566592,38.427895,-6.5757914,40.791233,2.963241,33.529026,metal
metal.00003.wav,0.4876579,0.078893036,0.15011945,0.0008581981,2752.29322058845,155566.26727434807,2205.7506246531257,29364.401709526246,5234.80827880293,420371.3980952353,0.16667346408546016,0.0022376638522286956,-0.0031159818,0.008912127,-0.00493402,0.005587396,99.38401442307692,-43.095963,411.2994,75.37249,235.56201,-47.823303,191.8086,53.022266,82.60552,-12.325955,74.324646,36.862835,78.32349,-8.285685,66.56635,28.386372,73.3178,-14.524615,48.442715,22.091658,38.87827,-7.3449435,50.74977,15.974339,31.307697,-13.12713,36.307335,12.259998,38.047436,-10.446625,40.1546,5.9282713,39.481956,-6.671972,39.88944,5.281168,50.272755,-2.3263977,41.396595,3.5843415,41.55529,metal
metal.00004.wav,0.6347416,0.04797519,0.063436955,0.00010783112,3403.0762706924875,267807.2602216924,2825.1012484976063,53340.288405109815,6902.990354462732,789468.0407977324,0.19235071357791958,0.002361824490763959,-1.2979618e-06,0.001722421,-8.992037e-05,0.0008747497,135.99917763157896,-107.15857,1127.3876,47.66012,322.08752,-8.623368,182.35811,38.404957,182.75575,8.464612,102.79662,9.544071,96.17171,1.0112348,111.446526,20.752398,80.36112,0.7103535,62.776974,11.781386,63.803474,1.1649988,49.654144,11.065436,42.729507,-2.537655,43.61262,7.584563,42.633415,-4.201381,36.75403,7.0797977,36.84952,-6.6220603,39.422897,4.549069,32.3832,-4.2646813,30.514746,4.287557,32.46356,metal
metal.00005.wav,0.42260757,0.07775948,0.12173561,0.0012568777,2464.5835107062226,195404.57006337855,2204.684578614328,74958.9942156315,4952.087147440545,748698.4731615877,0.13431926116589327,0.001326562351711698,-0.0013294743,0.006116255,-0.0026441303,0.0052617523,151.99908088235293,-79.6058,1074.496,93.465515,299.4455,-27.727808,261.16815,64.066574,178.31404,-18.799423,95.27472,23.316315,57.916164,-10.544774,99.45415,13.356813,69.41359,-17.534975,69.09835,16.389614,71.87201,-10.039802,55.8738,8.944684,52.900726,-16.07516,33.718388,4.2843733,44.507168,-14.801477,34.41582,0.2581054,42.283043,-8.213502,31.09064,3.4196138,44.850548,-3.7168067,46.681553,-2.4295259,40.048443,metal
metal.00006.wav,0.43394193,0.08011595,0.050436046,0.00010291364,3237.024467978614,346479.4027615978,2572.8561991738597,73851.98793807102,6228.183401156468,958772.02917519,0.1980427965487239,0.003335326267375043,-4.3227587e-07,0.0012562902,-3.68347e-06,0.0005650218,123.046875,-140.7743,784.4522,55.93842,431.2669,-12.305976,296.31116,44.334286,152.56407,-10.598108,152.63303,10.867342,70.59812,-0.94542086,141.85373,22.24718,102.819824,-9.377724,102.54987,15.238384,57.755367,-3.057164,75.44971,9.061381,62.577484,-8.799073,60.576797,8.731085,57.551395,-12.109936,58.43123,5.5577335,54.108383,-12.472168,56.375153,6.35424,54.89666,-3.856728,51.14528,4.7147374,54.53368,metal
metal.00007.wav,0.5814756,0.061631203,0.06945514,0.00015760631,2939.5934644365843,243834.84063969273,2522.7640637193967,89755.75945825859,5806.928665621374,1035474.1643828175,0.16831088674593966,0.0018782496119271205,7.5032226e-06,0.002088711,0.00039264222,0.0011101636,151.99908088235293,-108.10116,269.44473,65.7679,284.77936,-20.839346,244.47017,47.553825,110.13704,0.86709434,94.665565,8.987104,41.358112,-3.2015545,62.322132,20.969145,46.04073,-10.341167,42.03929,7.8690696,31.823814,-8.121823,32.24468,12.04054,35.260857,-9.151338,36.155933,6.996156,35.825825,-8.7440605,33.89641,5.7798347,32.86281,-12.3590975,29.798948,3.4397657,27.344748,-7.3712373,29.257816,4.8633327,24.971636,metal
metal.00008.wav,0.4666515,0.082233176,0.058365826,0.00020354417,2966.002257457456,852372.5270820827,2759.0013961515715,283177.68028038344,6189.363682297709,3240794.3958365144,0.14056155742459397,0.0050518168229779685,2.501826e-06,0.0019551492,3.3900556e-05,0.00079839665,117.45383522727273,-149.9959,1773.6384,67.87112,740.1548,-6.662219,494.84,32.076023,177.89922,6.094865,170.57942,12.234472,118.68365,9.144557,97.99412,10.1837845,112.212006,3.7711596,65.402405,10.598272,81.24822,0.76798576,54.98756,7.7185936,63.78128,-1.1560501,52.139496,-3.2983496,36.790653,-7.5336413,38.822556,0.42327073,45.347927,-4.0075684,42.737156,1.260456,47.92454,1.4773557,45.383423,5.4814763,51.30546,metal
metal.00009.wav,0.5270015,0.0607312,0.3126573,0.0010488922,2250.828321006332,96672.7651476356,2390.0458819683004,25842.69833844566,5112.253876794519,251173.93818111508,0.09464725928074245,0.0005551295220107806,6.0696802e-06,0.053778917,-0.00040432726,0.013985493,112.34714673913044,3.6384408,542.8477,104.7562,191.27483,-0.8330118,114.86339,55.920498,222.62827,-29.22942,79.590614,31.247383,64.44381,-14.18906,61.736134,20.214329,50.34738,-8.2728195,49.55866,15.177011,39.986603,-14.592084,22.94044,15.659341,28.181833,-12.991372,22.85443,15.278262,28.31071,-6.9236765,26.474512,9.862301,29.911428,-6.496095,21.491547,4.8992124,19.93599,-0.7789391,19.202557,6.457739,18.523048,metal
